"OldAdvertiserId","NewAdvertiserId"
"AR151388010816995328","AR12632311768945786881"
"AR155616285860823040","AR15046241169216372737"
"AR160975992729370624","AR13515777883078918145"
"AR201311233196949504","AR08696063852359450625"
"AR25591476733870080","AR01211943701102723073"
"AR42988808702001152","AR08213154634588487681"
"AR436495327269224448","AR14272329431602167809"
"AR452429243620524032","AR16698978394699726849"
"AR523570325997223936","AR16988053195781570561"
"AR78805022019682304","AR04044707866718765057"
"AR306546418804326400","AR11854789922340732929"
"AR533035128247549952","AR13006871125186052097"
"AR547802084804657152","AR03860425594734903297"
"AR18582605502873600","AR08541552094648205313"
"AR28939146043064320","AR06676438700701777921"
"AR313569927283867648","AR17002531152579264513"
"AR320561756084633600","AR11650119955998834689"
"AR321673121822146560","AR15056374268377956353"
"AR411999445152956416","AR17825722726472482817"
"AR495061707475910656","AR18064413506723119105"
"AR92743049888661504","AR04945427792192864257"
"AR205914785303232512","AR16388710369553547265"
"AR235858094700101632","AR11783520678139920385"
"AR337731970182152192","AR01475386274800992257"
"AR367867006919114752","AR15988619391243649025"
"AR380259121439440896","AR07568774575136178177"
"AR400992543484936192","AR06857571146749968385"
"AR436057515482939392","AR01317778292345929729"
"AR471536573867884544","AR01627547001774145537"
"AR541799953907843072","AR09132931020717293569"
"AR159467256617631744","AR17303305169697505281"
"AR343012374774546432","AR04112261861129322497"
"AR371725193220980736","AR16902850115599859713"
"AR39744596565032960","AR09254510206153392129"
"AR428358563266560000","AR05112060978405572609"
"AR460521271243833344","AR14385284735024758785"
"AR550802858195288064","AR01941526840736743425"
"AR182856686438973440","AR06593745255810465793"
"AR263919555586293760","AR00366257631133696001"
"AR381843826932711424","AR01356058889178578945"
"AR513319922688851968","AR06091593897358655489"
"AR513592326694633472","AR02135181624713674753"
"AR559092041997352960","AR15446959693787824129"
"AR198080077760561152","AR04776542806166470657"
"AR286594543367749632","AR17878041887768576001"
"AR367164041031843840","AR09102250248255832065"
"AR399896124233613312","AR15740963880374894593"
"AR416548605793402880","AR05656152108387270657"
"AR427047807967297536","AR17692731297534836737"
"AR461033265705254912","AR07075630415939108865"
"AR473623910793871360","AR01519179135740542977"
"AR48420705380859904","AR14992958560856440833"
"AR507835283811598336","AR13315870451352731649"
"AR512751990573367296","AR06663759957243985921"
"AR525728289365426176","AR01914870555710849025"
"AR278473309966827520","AR00341904548090085377"
"AR282314934874800128","AR03612362302491197441"
"AR312402864410460160","AR09578871221588590593"
"AR328845511048036352","AR17898360450333016065"
"AR386425766763560960","AR17654585940632403969"
"AR409506336896712704","AR12724059142336020481"
"AR48204685705740288","AR14821336752949559297"
"AR484938847516360704","AR03989820246260187137"
"AR567631777011597312","AR06711459382997024769"
"AR58162722000338944","AR00931858094772715521"
"AR108578491229798400","AR03954635874171355137"
"AR111940351110938624","AR17831717538745024513"
"AR129246526693179392","AR05818009703283687425"
"AR139173707942723584","AR04693226213060116481"
"AR260785947447132160","AR10700183691042226177"
"AR340145638723289088","AR15459081122289287169"
"AR389794326793682944","AR17923052870152749057"
"AR437294706582355968","AR00658227446331473921"
"AR461645831120879616","AR02956465408493748225"
"AR501278380579094528","AR09003171056453681153"
"AR53340298360651776","AR16098034816980615169"
"AR548023017922363392","AR17649833439060295681"
"AR131738191840411648","AR01477656079117582337"
"AR165256735093686272","AR08697647149103448065"
"AR202327731696828416","AR02433910412765298689"
"AR335183920704258048","AR15101044951913332737"
"AR433654223582789632","AR08545076029415227393"
"AR466392594616680448","AR01251715510580543489"
"AR471191894152445952","AR10445561674499883009"
"AR475849528486920192","AR17154686381994278913"
"AR497204346400800768","AR18102327966183718913"
"AR522845507316350976","AR10016953762611986433"
"AR59544086561947648","AR17634747040015581185"
"AR185893056518553600","AR06854091604764917761"
"AR303658723312664576","AR08232211095243194369"
"AR477773845634220032","AR05533770004584988673"
"AR499236415687622656","AR11698451875815751681"
"AR504704802408628224","AR12132412210307661825"
"AR512985190117670912","AR02436922799747497985"
"AR63330632809316352","AR17352844765598580737"
"AR122089290111909888","AR16131524841651044353"
"AR123455089712037888","AR03630376701000679425"
"AR289458736798367744","AR08430369478847496193"
"AR361355699059425280","AR06259718296216535041"
"AR497620064875315200","AR09676459200745570305"
"AR50338116220747776","AR07883340041479520257"
"AR66093842968870912","AR11474802826949951489"
"AR114966756866392064","AR00806619734639378433"
